"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity.hc","count","pc.icm"
"022618G6G4_S","S","022618G6G4_S1",20180226,20180305,188,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","ko",59,216,"DP",0,0
"022618G6G4_S","S","022618G6G4_S2",20180226,20180305,220,"ICM","Littermate",">150","CD1/mixed","Gata6","mosaic","Gata4","het",81,216,"DP",0,0
"022618G6G4_S","S","022618G6G4_S3",20180226,20180305,197,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",78,216,"DP",0,0
"022618G6G4_S","S","022618G6G4_S4",20180226,20180305,216,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","ko",100,216,"DP",0,0
"042117G6G4_B","B","042117G6G4_B1",20170421,20170511,147,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","wt",38,147,"DP",0,0
"042117G6G4_B","B","042117G6G4_B2",20170421,20170511,196,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","mosaic",20,147,"DP",0,0
"042117G6G4_B","B","042117G6G4_B3",20170421,20170511,130,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","wt",19,147,"DP",1,5.26315789473684
"042117G6G4_B","B","042117G6G4_B4",20170421,20170511,180,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","mosaic",30,147,"DP",1,3.33333333333333
"042117G6G4_B","B","042117G6G4_B5",20170421,20170511,61,"ICM","Littermate","32_64","CD1/mixed","Gata6","het","Gata4","het",16,147,"DP",0,0
"042117G6G4_B","B","042117G6G4_B6",20170421,20170511,145,"ICM","Littermate","120_150","CD1/mixed","Gata6","het","Gata4","het",36,147,"DP",1,2.77777777777778
"042117G6G4_B","B","042117G6G4_B7",20170421,20170511,81,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Gata4","het",11,147,"DP",0,0
