"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","target","Recovery","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","group.median","litter.median.t0","Cell_diff","Stage.t0","Cellcount_t0","Identity.hc","count","Gene3","Genotype3","target_t0","pc.icm"
"021119Abl_EM.Random.Pdgfra.wt","EM","021119Abl_EM4",20190211,20190214,111,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",19,109,80,"kill_all","[70,90)",87,"PRE",11,NA,NA,NA,57.8947368421053
"021119Abl_EM.Random.Pdgfra.wt","EM","021119Abl_EM5",20190211,20190214,109,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",23,109,80,"kill_all","[70,90)",80,"PRE",13,NA,NA,NA,56.5217391304348
"021119Abl_EM.Random.Pdgfra.wt","EM","021119Abl_EM6",20190211,20190214,97,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",15,109,80,"kill_all","[70,90)",59,"PRE",10,NA,NA,NA,66.6666666666667
"021119Abl_EM.Random.Pdgfra.wt","EM","021119Abl_EM7",20190211,20190214,106,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",19,109,80,"kill_all","[70,90)",66,"PRE",10,NA,NA,NA,52.6315789473684
"021119Abl_EM.Random.Pdgfra.wt","EM","021119Abl_EM8",20190211,20190214,99,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",18,109,80,"kill_all","[70,90)",69,"PRE",9,NA,NA,NA,50
"021919Abl_EN.Ablated.Pdgfra.het","EN","021919Abl_EN1",20190219,20190222,97,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",24,105,96,"kill_all","[90,110)",85,"PRE",7,NA,NA,NA,29.1666666666667
"021919Abl_EN.Ablated.Pdgfra.het","EN","021919Abl_EN2",20190219,20190222,98,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",19,105,96,"kill_all","[90,110)",77,"PRE",17,NA,NA,NA,89.4736842105263
"021919Abl_EN.Ablated.Pdgfra.het","EN","021919Abl_EN3",20190219,20190222,110,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",34,105,96,"kill_all","[90,110)",96,"PRE",27,NA,NA,NA,79.4117647058823
"021919Abl_EN.Ablated.Pdgfra.het","EN","021919Abl_EN4",20190219,20190222,117,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",30,105,96,"kill_all","[90,110)",98,"PRE",23,NA,NA,NA,76.6666666666667
"021919Abl_EN.Ablated.Pdgfra.het","EN","021919Abl_EN5",20190219,20190222,105,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",29,105,96,"kill_all","[90,110)",100,"PRE",17,NA,NA,NA,58.6206896551724
"021919Abl_EN.Control.Pdgfra.het","EN","021919Abl_EN6",20190219,20190222,104,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",23,104,96,"zero","[90,110)",93,"PRE",15,NA,NA,NA,65.2173913043478
"021919Abl_EN.Control.Pdgfra.het","EN","021919Abl_EN7",20190219,20190222,103,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",23,104,96,"zero","[90,110)",97,"PRE",14,NA,NA,NA,60.8695652173913
"021919Abl_EN.Random.Pdgfra.wt","EN","021919Abl_EN8",20190219,20190222,111,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",26,111,96,"kill_all","[90,110)",93,"PRE",20,NA,NA,NA,76.9230769230769
"021919Abl_EN.Random.Pdgfra.wt","EN","021919Abl_EN9",20190219,20190222,98,"ICM","Random","EPI","24h","CD1/mixed","Pdgfra","wt","R26","mKate/mKate",26,111,96,"kill_all","[90,110)",101,"PRE",12,NA,NA,NA,46.1538461538462
"021919Abl_EO.Ablated.Pdgfra.het","EO","021919Abl_EO1",20190219,20190222,61,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",13,104,104,"kill_0.5","[90,110)",57,"PRE",7,NA,NA,NA,53.8461538461538
"021919Abl_EO.Ablated.Pdgfra.het","EO","021919Abl_EO2",20190219,20190222,104,"ICM","Ablated","EPI","24h","CD1/mixed","Pdgfra","het","R26","mKate/mKate",26,104,104,"kill_0.5","[90,110)",116,"PRE",17,NA,NA,NA,65.3846153846154
