Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
121118G6NG_AO1,126,TE,I,17860,367.42,177.34,56.75,263.84,4.71E+06,19.279,3.44E+05,16.895,3.02E+05,1431,2.56E+07,28.688,5.12E+05,
121118G6NG_AO1,127,TE,I,9071,216.62,348.51,56.902,366.77,3.33E+06,31.267,2.84E+05,16.241,1.47E+05,1651.1,1.50E+07,31.355,2.84E+05,
121118G6NG_AO1,128,TE,I,14893,233.7,408.81,55.084,330.46,4.92E+06,14.171,2.11E+05,14.101,2.10E+05,1363.4,2.03E+07,26.225,3.91E+05,
121118G6NG_AO1,129,TE,I,8565,313.87,440.63,57.819,414.05,3.55E+06,15.904,1.36E+05,14.713,1.26E+05,1663.5,1.42E+07,31.438,2.69E+05,
121118G6NG_AO1,131,TE,I,11254,254.49,64.177,58.102,283.21,3.19E+06,40.113,4.51E+05,16.279,1.83E+05,1584.8,1.78E+07,39.391,4.43E+05,
121118G6NG_AO1,132,TE,I,6336,122.25,184.18,56.291,342.38,2.17E+06,64.684,4.10E+05,18.95,1.20E+05,1376.8,8.72E+06,46.055,2.92E+05,
121118G6NG_AO1,136,ICM,I,15241,176.19,115.61,61.15,395.22,6.02E+06,26.228,4.00E+05,19.953,3.04E+05,1501.4,2.29E+07,202.54,3.09E+06,
121118G6NG_AO1,137,TE,I,19382,146.75,188.69,59.663,286.32,5.55E+06,35.55,6.89E+05,18.946,3.67E+05,1514.8,2.94E+07,116.85,2.26E+06,
121118G6NG_AO1,139,TE,I,12286,364.98,305.28,62.651,327.66,4.03E+06,25.327,3.11E+05,15.734,1.93E+05,1596.3,1.96E+07,29.892,3.67E+05,
121118G6NG_AO1,140,TE,I,9364,292.36,96.322,64.727,411.76,3.86E+06,29.943,2.80E+05,15.476,1.45E+05,1526.9,1.43E+07,30.933,2.90E+05,
121118G6NG_AO1,142,TE,I,7194,214.52,71.496,63.539,307.68,2.21E+06,17.143,1.23E+05,14.287,1.03E+05,1703.3,1.23E+07,48.656,3.50E+05,
121118G6NG_AO1,143,ICM,I,3421,178.02,188.85,60.299,202.64,6.93E+05,15.395,52666,19.474,66621,1523.3,5.21E+06,140.89,4.82E+05,
121118G6NG_AO1,144,TE,I,11782,177.75,246.66,62.795,216.44,2.55E+06,31.612,3.72E+05,15.672,1.85E+05,1502.6,1.77E+07,37.055,4.37E+05,
121118G6NG_AO1,145,TE,I,11314,337.41,121.02,64.735,297.06,3.36E+06,24.978,2.83E+05,15.021,1.70E+05,1452.5,1.64E+07,30.519,3.45E+05,
