Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
121118G6NG_AP2,45,TE,I,7641,79.583,328.07,24.386,2369.6,1.81E+07,87.233,6.67E+05,28.449,2.17E+05,1676.8,1.28E+07,53.727,4.11E+05,
121118G6NG_AP2,45.2,ICM,I,7641,83,307,27,1189.476,,22.725,,407.514,,1723.143,,66.521,,
121118G6NG_AP2,46,TE,I,6841,159.16,367.64,22.884,2212.1,1.51E+07,236.42,1.62E+06,25.477,1.74E+05,1709.8,1.17E+07,68.285,4.67E+05,
121118G6NG_AP2,47,ICM,I,6915,69.036,247.73,25.072,1006.9,6.96E+06,17.994,1.24E+05,208.52,1.44E+06,1763.4,1.22E+07,66.81,4.62E+05,
121118G6NG_AP2,48,ICM,I,8784,162.9,324.54,24.968,1303.9,1.15E+07,21.027,1.85E+05,32.894,2.89E+05,1605.4,1.41E+07,698.91,6.14E+06,
121118G6NG_AP2,49,TE,I,8940,326.9,173.01,28.393,1449.7,1.30E+07,66.256,5.92E+05,23.106,2.07E+05,1595.5,1.43E+07,60.058,5.37E+05,
121118G6NG_AP2,50,ICM,I,3490,108.57,183,24.652,1483.1,5.18E+06,20.556,71739,44.598,1.56E+05,1868.9,6.52E+06,1203.2,4.20E+06,
121118G6NG_AP2,51,TE,I,6866,44.316,283.3,27.263,1627.7,1.12E+07,201.37,1.38E+06,33.831,2.32E+05,1841.6,1.26E+07,57.77,3.97E+05,
121118G6NG_AP2,52,ICM,I,5512,163.12,273.09,28.331,1064.8,5.87E+06,15.898,87630,36.108,1.99E+05,1559.3,8.60E+06,964.58,5.32E+06,
121118G6NG_AP2,53,TE,I,8345,191.29,133.56,30.378,1539.7,1.28E+07,168.07,1.40E+06,22.864,1.91E+05,1829.5,1.53E+07,62.524,5.22E+05,
121118G6NG_AP2,54,ICM,I,3272,72.282,217.72,25.868,1219.1,3.99E+06,20.586,67358,164.53,5.38E+05,1568.7,5.13E+06,63.568,2.08E+05,
121118G6NG_AP2,55,TE,I,5325,112.97,358.77,30.595,1468.5,7.82E+06,243.66,1.30E+06,29.396,1.57E+05,1880.3,1.00E+07,49.364,2.63E+05,
121118G6NG_AP2,56,TE,I,7175,386.81,359.93,29.332,1733.2,1.24E+07,63.391,4.55E+05,22.292,1.60E+05,1631.3,1.17E+07,58.698,4.21E+05,
121118G6NG_AP2,57,ICM,M,3177,191.07,369.88,29.297,1623.5,5.16E+06,19.573,62185,23.995,76233,1696.8,5.39E+06,401.1,1.27E+06,
121118G6NG_AP2,58,TE,I,9348,235.64,384.59,32.624,1672.5,1.56E+07,116.91,1.09E+06,22.691,2.12E+05,1764.5,1.65E+07,45.111,4.22E+05,
121118G6NG_AP2,59,TE,I,5896,402.86,212.93,30.492,1427.1,8.41E+06,19.901,1.17E+05,17.828,1.05E+05,1417.5,8.36E+06,43.12,2.54E+05,
121118G6NG_AP2,60,TE,I,6993,400.25,250.1,30.522,1280.1,8.95E+06,51.508,3.60E+05,22.776,1.59E+05,1398.6,9.78E+06,68.475,4.79E+05,
121118G6NG_AP2,61,ICM,I,8407,112.37,250.71,31.813,1057.8,8.89E+06,16.319,1.37E+05,216.26,1.82E+06,1600.3,1.35E+07,70.292,5.91E+05,
121118G6NG_AP2,62,TE,I,6506,415.38,287.83,31.038,1633.2,1.06E+07,65.359,4.25E+05,23.125,1.50E+05,1543,1.00E+07,57.169,3.72E+05,
121118G6NG_AP2,63,ICM,I,5878,46.838,245.7,32.165,959.4,5.64E+06,18.002,1.06E+05,269.43,1.58E+06,1586.9,9.33E+06,68.081,4.00E+05,
121118G6NG_AP2,64,ICM,I,4540,107.2,274.67,30.698,885.42,4.02E+06,15.914,72248,191.95,8.71E+05,1687.1,7.66E+06,55.191,2.51E+05,
121118G6NG_AP2,65,ICM,I,5515,110.33,327.35,31.591,1160,6.40E+06,25.891,1.43E+05,198.58,1.10E+06,1551,8.55E+06,65.032,3.59E+05,
121118G6NG_AP2,66,TE,I,10699,280.11,418.2,35.422,1508.4,1.61E+07,192.98,2.06E+06,23.451,2.51E+05,1726.6,1.85E+07,58.691,6.28E+05,
121118G6NG_AP2,67,TE,I,7222,235.96,150.11,34.991,978.14,7.06E+06,50.793,3.67E+05,20.854,1.51E+05,1665.3,1.20E+07,58.186,4.20E+05,
121118G6NG_AP2,68,ICM,I,9435,142.29,315.95,33.204,1023.4,9.66E+06,18.422,1.74E+05,36.799,3.47E+05,1703.3,1.61E+07,606.42,5.72E+06,
121118G6NG_AP2,69,TE,I,6907,389.08,172.99,36.63,1383.5,9.56E+06,29.732,2.05E+05,18.1,1.25E+05,1628.7,1.12E+07,53.001,3.66E+05,
121118G6NG_AP2,70,ICM,I,7436,152.42,230.6,35.489,707.44,5.26E+06,15.436,1.15E+05,26.119,1.94E+05,1406.5,1.05E+07,501.68,3.73E+06,
121118G6NG_AP2,71,TE,I,5168,144.7,383.54,35.872,1181.1,6.10E+06,179.28,9.27E+05,22.476,1.16E+05,1739.7,8.99E+06,40.571,2.10E+05,
121118G6NG_AP2,72,ICM,I,10966,102,164.67,38.631,863.2,9.47E+06,21.493,2.36E+05,31.444,3.45E+05,1803,1.98E+07,705.66,7.74E+06,
121118G6NG_AP2,73,TE,I,6657,27.8,204.57,38.346,1088.7,7.25E+06,166.56,1.11E+06,26.136,1.74E+05,1712.3,1.14E+07,52.342,3.48E+05,
121118G6NG_AP2,74,ICM,I,11248,157.54,350.94,37.067,908.96,1.02E+07,24.915,2.80E+05,27.405,3.08E+05,1798.8,2.02E+07,457.3,5.14E+06,
121118G6NG_AP2,75,TE,I,7020,174.87,391.09,38.728,1497.1,1.05E+07,111.08,7.80E+05,22.536,1.58E+05,1706.9,1.20E+07,50.914,3.57E+05,
121118G6NG_AP2,76,TE,I,7280,52.087,171.73,38.861,824.18,6.00E+06,197.92,1.44E+06,24.787,1.80E+05,1775.8,1.29E+07,50.732,3.69E+05,
121118G6NG_AP2,77,ICM,I,5258,82.065,207.66,35.858,732.43,3.85E+06,18.961,99697,179.69,9.45E+05,1324.4,6.96E+06,62.964,3.31E+05,
121118G6NG_AP2,78,TE,I,10013,290.71,137.95,40.712,1545.6,1.55E+07,15.568,1.56E+05,15.504,1.55E+05,1764.1,1.77E+07,30.561,3.06E+05,
121118G6NG_AP2,79,ICM,I,7053,83.3,295.02,36.172,926.58,6.54E+06,17.329,1.22E+05,268.76,1.90E+06,1545.4,1.09E+07,57.283,4.04E+05,
121118G6NG_AP2,80,TE,I,11025,373.21,396.44,40.828,1537.6,1.70E+07,54.699,6.03E+05,17.294,1.91E+05,1692.6,1.87E+07,40.393,4.45E+05,
121118G6NG_AP2,81,TE,I,9255,449.64,289.96,43.25,1466.5,1.36E+07,50.68,4.69E+05,19.637,1.82E+05,1555.5,1.44E+07,59.423,5.50E+05,
121118G6NG_AP2,82,TE,I,13367,450.75,339.5,43.479,1382.2,1.85E+07,36.534,4.88E+05,19.929,2.66E+05,1512.7,2.02E+07,52.873,7.07E+05,
121118G6NG_AP2,83,TE,I,5982,85.525,138.34,44.128,999.16,5.98E+06,157.5,9.42E+05,21.568,1.29E+05,1576.4,9.43E+06,63.855,3.82E+05,
121118G6NG_AP2,84,ICM,I,6586,79.808,248.49,41.839,759.51,5.00E+06,15.952,1.05E+05,203.63,1.34E+06,1771,1.17E+07,55.267,3.64E+05,
121118G6NG_AP2,85,ICM,I,6550,95.118,310.97,41.601,758.36,4.97E+06,16.98,1.11E+05,129.07,8.45E+05,1778.6,1.17E+07,63.289,4.15E+05,
121118G6NG_AP2,86,TE,I,5424,157.2,115.12,44.085,956.02,5.19E+06,117.16,6.35E+05,20.753,1.13E+05,1800.5,9.77E+06,55.167,2.99E+05,
121118G6NG_AP2,87,TE,I,6744,116.1,126.53,44.398,1246.7,8.41E+06,150.28,1.01E+06,22.248,1.50E+05,1724.4,1.16E+07,74.708,5.04E+05,
