Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Gene3,Genotype3,Background,Treatment,target,target_t0,target_killed,Tt_stage,Cellcount_t0,Recovery,Cell_diff,Experimenter,MINS_correct
20170405,20170626,040517Abl_U,U,040517Abl_U4,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,20,5,tbd,,24h,kill_0.5,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U5,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,14,0,tbd,,24h,zero,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U6,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,12,0,tbd,,24h,zero,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U7,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,18,0,tbd,,24h,zero,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U8,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U9,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U10,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170405,20170626,040517Abl_U,U,040517Abl_U11,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,8,4,tbd,,24h,kill_all,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,4,2,tbd,,24h,kill_all,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,4,2,tbd,,24h,kill_all,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V4,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,4,2,tbd,,24h,kill_all,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V5,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V8,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V9,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170405,20170626,040517Abl_V,V,040517Abl_V10,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
