Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,ESC_line,Treatment,ES_culture,H_cells,D_cells,Culture_time,Tt_stage,ESC_t0,Cre,Technique,Experimenter,MINS_correct
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE3,Fgf4,F4FL_FL,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE4,Fgf4,unknown,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE5,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE6,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Gdf9:iCre,Aggregation,NS,NS
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE7,Fgf4,unknown,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE8,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
20170407,20170419,040717Xim_F4KO_AE,AE,040717Xim_F4KO_AE9,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,NS
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF1,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,SR
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF2,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,SR
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF3,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,SR
