Exp_date,Img_date,Experiment,Litter,Embryo_ID,H_genotype,D_genotype,Treatment,H_cells,D_cells,Tt_stage,Embryo_size,Experimenter,MINS_correct
20170301,20170316,030117Xim_WT_AL,AL,030117Xim_WT_AL1,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170301,20170316,030117Xim_WT_AL,AL,030117Xim_WT_AL2,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170301,20170316,030117Xim_WT_AL,AL,030117Xim_WT_AL3,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170301,20170316,030117Xim_WT_AL,AL,030117Xim_WT_AL4,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170301,20170316,030117Xim_WT_AL,AL,030117Xim_WT_AL5,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170301,20170316,030117Xim_WT_AL,AL,030117Xim_WT_AL6,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170301,20170316,030117Xim_WT_AL,AL,030117Xim_WT_AL7,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170301,20170316,030117Xim_WT_AL,AL,030117Xim_WT_AL8,wt,NA,Control,8,0,8cell,Single,NS,HG
20170302,20170316,030217Xim_WT_AM,AM,030217Xim_WT_AM1,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170302,20170316,030217Xim_WT_AM,AM,030217Xim_WT_AM2,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170302,20170316,030217Xim_WT_AM,AM,030217Xim_WT_AM3,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170302,20170316,030217Xim_WT_AM,AM,030217Xim_WT_AM4,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170302,20170316,030217Xim_WT_AM,AM,030217Xim_WT_AM5,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
